area_id,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000026,712,441,0.259831461,0.387755102,0.133426966,0.247165533
E05000027,592,427,0.224662162,0.402810304,0.099662162,0.259953162
E05000028,665,499,0.24962406,0.466933868,0.123308271,0.29258517
E05000029,484,362,0.241735537,0.422651934,0.128099174,0.245856354
E05000030,446,320,0.257847534,0.378125,0.125560538,0.215625
E05000031,625,479,0.2656,0.415448852,0.1152,0.265135699
E05000032,783,514,0.295019157,0.426070039,0.162196679,0.289883268
E05000033,667,457,0.287856072,0.393873085,0.16191904,0.251641138
E05000034,592,442,0.268581081,0.42081448,0.150337838,0.260180995
E05000035,482,438,0.228215768,0.413242009,0.114107884,0.248858447
E05000036,573,432,0.268760908,0.425925926,0.12565445,0.243055556
E05000037,559,343,0.266547406,0.428571429,0.148479428,0.265306122
E05000038,633,401,0.301737757,0.431421446,0.172195893,0.301745636
E05000039,634,497,0.294952681,0.430583501,0.15615142,0.269617706
E05000040,564,415,0.244680851,0.395180723,0.122340426,0.245783133
E05000041,589,398,0.24278438,0.429648241,0.129032258,0.278894472
E05000042,478,368,0.240585774,0.391304348,0.127615063,0.22826087
E05000043,520,564,0.221153846,0.310283688,0.107692308,0.164893617
E05000044,741,636,0.251012146,0.40408805,0.118758435,0.253144654
E05000045,491,366,0.226069246,0.330601093,0.122199593,0.169398907
E05000046,696,511,0.272988506,0.395303327,0.126436782,0.260273973
E05000047,539,441,0.20593692,0.37414966,0.100185529,0.195011338
E05000048,586,442,0.254266212,0.359728507,0.112627986,0.221719457
E05000049,493,387,0.176470588,0.333333333,0.079107505,0.173126615
E05000050,475,509,0.250526316,0.324165029,0.109473684,0.170923379
E05000051,363,354,0.181818182,0.228813559,0.066115702,0.115819209
E05000052,363,256,0.195592287,0.2578125,0.063360882,0.125
E05000053,643,578,0.203732504,0.320069204,0.087091757,0.164359862
E05000054,578,530,0.247404844,0.350943396,0.112456747,0.205660377
E05000055,597,434,0.154103853,0.34562212,0.073701843,0.19124424
E05000056,445,342,0.168539326,0.312865497,0.04494382,0.160818713
E05000057,547,472,0.257769653,0.345338983,0.113345521,0.18220339
E05000058,475,390,0.202105263,0.335897436,0.077894737,0.169230769
E05000059,457,340,0.214442013,0.332352941,0.089715536,0.179411765
E05000060,495,452,0.21010101,0.294247788,0.078787879,0.194690265
E05000061,551,331,0.185117967,0.262839879,0.085299456,0.145015106
E05000062,510,394,0.205882353,0.365482234,0.098039216,0.164974619
E05000063,505,456,0.2,0.335526316,0.091089109,0.208333333
E05000064,375,330,0.248,0.409090909,0.090666667,0.248484848
E05000065,551,430,0.268602541,0.402325581,0.117967332,0.28372093
E05000066,353,345,0.223796034,0.336231884,0.084985836,0.2
E05000067,361,228,0.246537396,0.328947368,0.096952909,0.157894737
