Code,Borough,Measure,Year,Income
E09000001,City of London,Mean,2001/02,65120
E09000002,Barking and Dagenham,Mean,2001/02,22930
E09000003,Barnet,Mean,2001/02,39190
E09000004,Bexley,Mean,2001/02,30060
E09000005,Brent,Mean,2001/02,29430
E09000006,Bromley,Mean,2001/02,37110
E09000007,Camden,Mean,2001/02,47940
E09000008,Croydon,Mean,2001/02,31740
E09000009,Ealing,Mean,2001/02,34000
E09000010,Enfield,Mean,2001/02,30750
E09000011,Greenwich,Mean,2001/02,28290
E09000012,Hackney,Mean,2001/02,26320
E09000013,Hammersmith and Fulham,Mean,2001/02,43100
E09000014,Haringey,Mean,2001/02,31510
E09000015,Harrow,Mean,2001/02,35720
E09000016,Havering,Mean,2001/02,30610
E09000017,Hillingdon,Mean,2001/02,32140
E09000018,Hounslow,Mean,2001/02,33000
E09000019,Islington,Mean,2001/02,37560
E09000020,Kensington and Chelsea,Mean,2001/02,75210
E09000021,Kingston upon Thames,Mean,2001/02,40100
E09000022,Lambeth,Mean,2001/02,33280
E09000023,Lewisham,Mean,2001/02,28930
E09000024,Merton,Mean,2001/02,39270
E09000025,Newham,Mean,2001/02,21270
E09000026,Redbridge,Mean,2001/02,32250
E09000027,Richmond upon Thames,Mean,2001/02,50450
E09000028,Southwark,Mean,2001/02,31770
E09000029,Sutton,Mean,2001/02,33220
E09000030,Tower Hamlets,Mean,2001/02,29690
E09000031,Waltham Forest,Mean,2001/02,26940
E09000032,Wandsworth,Mean,2001/02,44900
E09000033,Westminster,Mean,2001/02,55470
E13000001,Inner London,Mean,2001/02,37520
E13000002,Outer London,Mean,2001/02,33700
E12000001,North East,Mean,2001/02,22837
E12000002,North West,Mean,2001/02,25313
E12000003,Yorkshire and the Humber,Mean,2001/02,23049
E12000004,East Midlands,Mean,2001/02,23622
E12000005,West Midlands,Mean,2001/02,24942
E12000006,East of England,Mean,2001/02,29196
E12000007,London,Mean,2001/02,35236
E12000008,South East,Mean,2001/02,33075
E12000009,South West,Mean,2001/02,25927
